FIPS,tabled,tdisabled,D_biep_Abled_Good_all
10001,7.0,7.625,0.606149847867439
10003,7.84,8.24,0.555806491611454
10005,7.33333333333333,7.0,-0.115561490787811
1001,7.33333333333333,7.33333333333333,0.723671445958345
1005,8.2,7.2,0.626387245503475
1007,7.0,7.0,0.2217891618232
1009,9.0,9.0,0.640537883554752
1011,10.0,10.0,-0.410807564089395
1015,6.4545454545454515,5.63636363636364,0.754466771665583
1017,5.0,5.0,-0.632011241738234
1029,8.0,7.0,-0.35547920120114096
1031,8.6,9.0,0.6829852763177391
1033,10.0,10.0,0.692240583104772
1035,10.0,10.0,1.1679787699209598
1039,7.5,8.0,0.6723380380481919
1043,9.0,8.0,1.04688880605083
1045,5.8,7.0,0.568939529577531
1049,6.5,8.0,0.88170273158503
1051,5.0,8.5,0.406707631218416
1053,7.33333333333333,7.33333333333333,0.240400096171714
1055,7.33333333333333,7.66666666666667,0.907358323336974
1061,7.25,7.0,0.4633796405331699
1067,8.0,8.0,0.934653150731589
1069,7.6,8.0,0.376642587718386
1071,7.0,7.0,0.435546726391646
1073,7.375,7.09375,0.61030774513598
1081,7.0,7.61538461538461,0.44855273738066703
1083,9.0,9.0,0.704874420834578
1089,6.6,8.2,0.370108584771869
1097,7.58333333333333,7.5,0.5336993571396129
1099,9.5,9.5,0.525682567820479
11001,7.289256198347111,7.40495867768595,0.425141669519849
1101,7.5,8.16666666666667,0.28710977949880395
1109,7.60416666666667,6.75,0.702502487038269
1111,6.0,1.0,1.3709569844838998
1113,10.0,10.0,1.11296736171474
1115,5.0,5.0,-0.301421979371584
1117,7.8,5.8,0.619380701439161
1123,6.75,7.5,0.37440674888293496
1125,8.47619047619048,7.47619047619048,0.443178419352459
1129,9.0,9.0,0.714114669287032
12001,7.28571428571429,6.928571428571429,0.4860971788236421
12005,8.0,8.33333333333333,-0.0922844440432897
12007,5.0,5.0,0.280612348437643
12009,8.6,6.4,0.854598925735619
12011,7.741379310344829,7.37931034482759,0.429800607103877
12015,7.0,8.0,0.0524566246003984
12017,8.0,8.0,0.816324906874232
12019,8.0,8.09090909090909,0.41916346394640297
12031,7.4,7.28571428571429,0.547763170944306
12033,7.625,7.25,0.435083312304807
12051,5.0,5.0,-0.200811262358381
12053,9.5,10.0,1.06055017237873
12055,7.5,7.5,0.580073490741459
12057,7.53846153846154,7.48076923076923,0.510377193526795
12061,8.0,9.5,0.6806434661613641
12069,7.0,7.5,0.819170934391806
12071,7.6,7.9,0.3824810692389921
12073,7.93103448275862,7.48275862068965,0.501090952189012
12081,7.0,7.8,0.515728661406869
12083,9.0,9.0,1.09515846513931
12086,7.5,7.6555555555555586,0.5145568634758989
12089,8.0,10.0,0.41379356405845896
12091,8.33333333333333,7.66666666666667,-0.008386826836227709
12095,7.0625,7.125,0.468865561784137
12097,7.2,7.4,0.567029117471163
12099,6.61904761904762,6.71428571428571,0.495452391399633
12101,6.75,6.875,0.539251366433642
12103,7.08,7.72,0.511235880804906
12105,7.75,7.33333333333333,0.5537299761964761
12109,8.6,9.0,0.35206867058341296
12111,5.0,5.0,0.366229934764346
12113,7.71428571428571,8.28571428571429,0.606705853817616
12115,7.16666666666667,6.0,0.43511884213631
12117,7.25,7.41666666666667,0.418956205700396
12119,7.0,7.0,0.4731286156249121
12121,5.0,5.0,0.582471777773889
12127,7.33333333333333,7.55555555555556,0.436077175853968
12131,7.5,7.5,0.884724971536234
13013,5.5,5.5,0.5880459934719561
13015,10.0,10.0,0.405710092403265
13021,7.85,7.8,0.585778821363035
13025,8.0,8.0,0.34220370469439193
13031,9.0,7.5,0.382802837581158
13033,8.125,8.125,0.6197541791331099
13039,9.0,8.33333333333333,0.59393945539153
13045,7.59090909090909,7.13636363636364,0.476897819871094
13051,7.857142857142861,8.0,0.493336659349774
13055,10.0,10.0,0.5490845804687821
13057,6.888888888888888,7.111111111111112,0.488549076416021
13059,7.5,7.41304347826087,0.466473532029043
13063,8.25,8.75,0.596455662976897
13067,7.47222222222222,7.47222222222222,0.549449209602025
13069,8.33333333333333,8.66666666666667,0.834468047097566
13073,8.18181818181818,7.09090909090909,0.631945674915929
13089,7.571428571428571,7.428571428571429,0.6002737738556789
13093,5.0,5.0,-0.0186871905688233
13095,5.0,5.5,0.155617145185415
13097,7.571428571428571,7.0,0.48794295382762
13099,7.8,8.0,0.4028484015222569
13113,8.28571428571429,6.857142857142861,0.36705099273459496
13115,5.0,6.0,0.135917299291888
13117,8.142857142857139,8.0,0.6214173652082571
13121,7.361111111111112,7.66666666666667,0.607431585889089
13131,7.5,9.5,0.7143732029216311
13135,6.90909090909091,7.09090909090909,0.548290213262423
13139,8.0,9.0,0.799741579856481
13149,10.0,10.0,0.6276511747649011
13151,7.5,7.5,-0.182491158982079
13153,6.16666666666667,6.83333333333333,0.688166192706283
13157,8.0,7.0,0.706036266691957
13161,8.0,7.0,0.60955035196221
13167,9.0,9.0,0.2858295026454929
13175,8.0,7.5,0.98329928886421
13181,7.0,5.0,0.85092265439715
13185,7.72727272727273,7.59090909090909,0.7083903625615379
13187,8.0,10.0,0.532139684050213
13197,9.0,9.0,0.7455262742787242
13201,6.0,7.0,0.6000452745167161
13205,5.0,5.0,1.42200926246522
13211,5.5,5.5,0.8556061375053579
13215,6.2,6.6,0.5817447686677769
13219,9.0,8.0,0.299488158379578
13223,7.0,8.25,0.672908834455953
13225,8.5,8.25,0.36967205788156704
13245,7.111111111111112,7.55555555555556,0.711124694991543
13247,6.5,6.5,0.533883817177731
13255,6.66666666666667,7.66666666666667,0.14111500592411902
13261,9.0,9.0,0.5500443182825021
13275,9.0,9.0,0.75224886549375
13277,8.0,7.33333333333333,1.02074708632671
13293,8.5,7.5,0.7546736338903771
13295,5.0,5.0,0.593056308541808
13297,10.0,10.0,0.676932184263175
13299,6.66666666666667,7.33333333333333,0.4349582946367629
13303,10.0,10.0,1.36828690306086
13313,5.0,6.33333333333333,0.35090689957476
13321,8.0,8.0,0.3499814648444841
15001,8.33333333333333,9.0,0.103259903771176
15003,7.5,7.8125,0.47492049245383
15007,9.0,9.0,0.7842138046277621
15009,7.0,6.0,0.219493425799156
16001,7.627450980392162,7.86274509803922,0.498514222584756
16005,8.4,7.4,0.600757660832564
16011,7.0,4.0,0.757118075077674
16019,6.0,5.66666666666667,0.3097352890452019
16027,6.46153846153846,6.307692307692308,0.348552485906089
16037,6.0,8.0,0.590717293507114
16045,5.0,4.0,1.20949316499814
16051,10.0,10.0,0.153995456301618
16053,5.0,9.0,0.0243357133617821
16055,8.16666666666667,7.66666666666667,0.621129168136987
16057,7.06666666666667,6.73333333333333,0.519601084872793
16065,8.33333333333333,7.66666666666667,0.633978611655714
16069,9.0,8.5,0.99655478153787
16085,7.0,7.0,-0.225505988621668
17001,6.0,7.0,0.209277057320844
17007,8.85714285714286,9.14285714285714,0.19234462775732894
17017,5.0,6.0,0.520343538240171
17019,7.68965517241379,7.6551724137931005,0.394840358335817
17021,7.66666666666667,7.66666666666667,0.338502544812468
17023,6.0,8.0,0.890429722825266
17025,9.0,6.0,0.9015522168924168
17027,7.5,7.83333333333333,0.541607259404053
17029,8.0,9.0,0.146252318153722
17031,7.43031784841076,7.39364303178484,0.5185539817681329
17033,9.0,7.5,0.510172740554538
17035,5.0,7.0,-0.571678625441948
17037,7.78947368421053,7.78947368421053,0.451758690264014
17039,7.0,7.0,0.46774895551496
17041,6.0,6.5,0.129575420251348
17043,7.754716981132081,7.613207547169808,0.491751784774865
17045,9.5,10.0,0.912585539979624
17049,8.0,7.0,0.771995800858511
17053,9.0,9.0,0.646397961936412
17055,6.5,8.5,0.258170002998006
17057,9.0,9.5,0.7992370162166241
17059,7.0,6.5,0.19724094995648606
17063,8.0,7.0,0.7357081196363041
17065,5.0,5.0,0.7487413229866741
17069,9.0,9.0,0.13373952634309
17075,9.5,9.5,1.14275422219577
17077,7.571428571428571,7.28571428571429,0.565773279498347
17079,9.0,8.5,0.724390653822712
17083,7.428571428571429,6.857142857142861,0.333416434324214
17085,8.75,8.0,0.653364045504189
17089,7.1,7.25,0.641741161688357
17091,7.75,7.5,0.290840818434
17093,9.0,7.33333333333333,0.53491146563703
17095,6.66666666666667,7.33333333333333,0.3846209488190921
17097,7.88636363636364,7.56818181818182,0.519154499518543
17099,5.0,6.0,0.90468183644926
17101,8.5,10.0,0.5879168770750429
17103,7.25,6.75,0.35127639587968795
17107,9.33333333333333,8.66666666666667,0.9651765846719128
17109,8.0,8.75,0.7201091334233279
17111,7.125,7.0,0.468754600562361
17113,7.307692307692308,7.61538461538461,0.570009043587702
17115,7.73913043478261,7.95652173913043,0.6632725608748579
17119,8.27777777777778,7.16666666666667,0.556730237724428
17125,8.0,8.0,0.405804436600177
17129,5.0,5.0,0.708870863008966
17133,6.25,5.0,0.55704615165862
17135,10.0,10.0,-0.115058186732889
17137,8.5,8.5,0.559283542791494
17139,10.0,10.0,-0.0600698799355385
17141,8.0,8.0,0.605153110502066
17143,7.941176470588241,7.64705882352941,0.5623818929766379
17147,7.33333333333333,8.0,0.178666241766092
17155,5.0,5.0,0.178269620948583
17157,7.0,9.0,0.4701803843905471
17161,7.83333333333333,7.16666666666667,0.506170971261504
17163,7.55555555555556,7.55555555555556,0.43024383894207296
17165,6.66666666666667,7.83333333333333,0.806296136127442
17167,7.9,8.3,0.06329301336132401
17177,4.5,7.0,0.267804580255302
17179,6.9,7.7,0.452166812288926
17183,7.66666666666667,8.33333333333333,-0.256398014670225
17187,8.0,8.0,1.3288400118668302
17191,10.0,9.0,0.8369853534079591
17195,7.28571428571429,7.428571428571429,0.5917435308701179
17197,7.90322580645161,8.09677419354839,0.6267354777407139
17199,8.0,8.0,-0.275032649421754
17201,7.392857142857139,7.0,0.461085251114111
17203,5.0,6.66666666666667,0.310451207840227
18003,7.10526315789474,7.08771929824561,0.5425637306736251
18005,7.125,7.125,0.7078565044355128
18007,5.0,5.0,-0.641483572928141
18011,8.86666666666667,8.0,0.43727185497301296
18017,5.0,5.0,0.370538160936606
18019,8.0,7.857142857142861,0.568543323798077
18021,7.8,7.0,0.367723186301586
18023,5.0,9.0,1.19738509913332
18027,8.0,8.0,0.430946274991671
18029,8.142857142857139,8.428571428571429,0.3739825061950061
18033,5.75,5.75,0.3811410445874711
18035,8.0625,7.25,0.470758648270561
18037,7.5,7.0,0.355715057293534
18039,8.0,7.0,-0.0742377874569949
18043,6.857142857142861,6.857142857142861,0.5859559408424
18045,7.0,6.5,0.254448288456996
18051,8.0,7.0,0.7307181991201779
18053,8.4,8.6,0.497058752446365
18055,7.0,6.5,0.0223630290774096
18057,8.2,8.51428571428571,0.6303577398381811
18061,5.0,5.0,1.13931117284473
18063,8.16666666666667,8.0,0.53584116162175
18065,7.66666666666667,8.33333333333333,0.8579855175987511
18067,7.71428571428571,8.28571428571429,0.4705475000048711
18069,8.8,7.4,0.266010047074683
18071,8.0,7.0,1.00750359993332
18081,8.45454545454546,8.09090909090909,0.486174949262469
18083,9.0,8.0,0.473791072491464
18085,8.25,8.0,0.334700209572921
18087,8.0,5.5,0.60264995492866
