FIPS,tyoung,told,D_biep_Young_Good_all
10001,7.13782051282051,7.173633440514469,0.46266204637951003
10003,7.077230359520639,6.8827448367754815,0.43970077754445897
10005,6.84831460674157,6.9608938547485995,0.4459574818662971
1001,7.05084745762712,6.79661016949153,0.5028143724291589
1003,7.1790393013100395,7.04148471615721,0.457369370446259
1005,7.28571428571429,6.971428571428571,0.380969511866484
1007,7.52380952380952,7.71428571428571,0.388473961761115
1009,7.25,7.8,0.381385302983615
1011,7.125,7.875,0.5935825306000451
1013,7.05263157894737,7.68421052631579,0.5573395089539159
1015,7.062176165803112,7.378238341968911,0.4487586249164289
1017,7.02325581395349,7.5581395348837175,0.48361932667019797
1019,7.142857142857139,7.142857142857139,0.373103849160949
1021,6.8,7.75,0.27636986732505
1023,6.5,8.25,0.6133816697343311
1025,6.35294117647059,7.0,0.400394798072549
1027,7.0,7.0,0.334189140368938
1029,7.5,7.0,0.701114253258987
1031,7.1851851851851904,7.148148148148152,0.4793653430755971
1033,7.20833333333333,7.29166666666667,0.469820901363471
1035,8.83333333333333,7.0,0.45031865995660997
1037,7.09090909090909,7.4545454545454515,0.46378826571049
1039,7.96969696969697,7.51515151515152,0.50546957105755
1041,7.137931034482759,6.862068965517241,0.41399246522509003
1043,7.1111111111111125,7.40740740740741,0.427312119988275
1045,7.074074074074073,7.19444444444444,0.408504498393114
1047,7.32258064516129,7.35483870967742,0.5461765066947291
1049,7.625,6.875,0.506993917082057
1051,6.8735632183907995,6.9540229885057485,0.43113618019180894
1053,6.454545454545452,6.5,0.44307943208831196
1055,7.01470588235294,6.97058823529412,0.5246863692498049
1057,8.8,6.33333333333333,0.5291670941180471
1059,6.33333333333333,7.22222222222222,0.22525781028930197
1061,7.41935483870968,7.03225806451613,0.454634378865695
1063,7.2,5.4,0.622842246087728
1065,6.33333333333333,8.6,0.6015566337253089
1067,7.84375,7.09375,0.436562588596711
1069,7.313364055299539,7.47926267281106,0.47007515905509395
1071,7.02777777777778,6.83333333333333,0.3808276790955321
1073,7.24383164005806,7.114742193173572,0.43768301113456004
1075,7.6,7.0,0.440864244597257
1077,6.86274509803922,6.8461538461538485,0.5791387698228001
1079,7.33333333333333,7.33333333333333,0.7770052471471409
1081,7.3252427184465985,7.13228155339806,0.432118145825551
1083,7.1142857142857086,6.828571428571429,0.5023044824116689
1085,7.66666666666667,6.58333333333333,0.6009978923246949
1087,7.03448275862069,8.44827586206897,0.561087164864854
1089,6.93489583333333,6.91145833333333,0.47105593257043704
1091,7.22222222222222,6.8888888888888875,0.7179688819984359
